"library","version","artifact","publishDate","latestPatch","latestPatchPublishDate","patchStatus","groupId","versionTotalCveCount","versionCriticalCveCount","versionHighCveCount","latestPatchTotalCveCount","latestPatchCriticalCveCount","latestPatchHighCveCount","daysBetweenManagedAndLatestVersions","daysSinceLatestPatch"
"antlr","2.7.7","antlr","2007-01-13","2.7.7","2007-01-13","up-to-date","antlr","0","0","0","0","0","0","0","6954"
"logback-access","1.2.12","logback-access","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","0","0","0","0","0","0","253","788"
"logback-classic","1.2.12","logback-classic","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","1","0","1","0","0","0","253","788"
"logback-core","1.2.12","logback-core","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","6","0","2","4","0","0","253","788"
"transactions-jdbc","4.0.6","transactions-jdbc","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"transactions-jms","4.0.6","transactions-jms","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"transactions-jta","4.0.6","transactions-jta","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"java-client","3.3.4","java-client","2022-09-09","3.3.4","2022-09-09","up-to-date","com.couchbase.client","0","0","0","0","0","0","0","1236"
"java-driver-core","4.14.1","java-driver-core","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-core-shaded","4.14.1","java-driver-core-shaded","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-mapper-processor","4.14.1","java-driver-mapper-processor","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-mapper-runtime","4.14.1","java-driver-mapper-runtime","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-metrics-micrometer","4.14.1","java-driver-metrics-micrometer","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-metrics-microprofile","4.14.1","java-driver-metrics-microprofile","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-query-builder","4.14.1","java-driver-query-builder","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-shaded-guava","25.1-jre-graal-sub-1","java-driver-shaded-guava","2020-06-05","25.1-jre-graal-sub-1","","skipped: not 3-part semver","com.datastax.oss","0","0","0","0","0","0","",""
"java-driver-test-infra","4.14.1","java-driver-test-infra","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"native-protocol","1.5.1","native-protocol","2022-02-15","1.5.2","unknown","update-available","com.datastax.oss","0","0","0","0","0","0","",""
"classmate","1.5.1","classmate","2019-10-19","1.5.1","2019-10-19","up-to-date","com.fasterxml","0","0","0","0","0","0","0","2292"
"jackson-annotations","2.13.5","jackson-annotations","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","0","0","0","0","0","0","0","1101"
"jackson-core","2.13.5","jackson-core","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","1","0","1","1","0","1","0","1101"
"jackson-databind","2.13.5","jackson-databind","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","0","0","0","0","0","0","0","1101"
"jackson-dataformat-avro","2.13.5","jackson-dataformat-avro","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-cbor","2.13.5","jackson-dataformat-cbor","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-csv","2.13.5","jackson-dataformat-csv","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-ion","2.13.5","jackson-dataformat-ion","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-properties","2.13.5","jackson-dataformat-properties","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-protobuf","2.13.5","jackson-dataformat-protobuf","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-smile","2.13.5","jackson-dataformat-smile","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-toml","2.13.5","jackson-dataformat-toml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","1","0","1","1","0","1","0","1101"
"jackson-dataformat-xml","2.13.5","jackson-dataformat-xml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-yaml","2.13.5","jackson-dataformat-yaml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-datatype-eclipse-collections","2.13.5","jackson-datatype-eclipse-collections","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-guava","2.13.5","jackson-datatype-guava","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate4","2.13.5","jackson-datatype-hibernate4","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate5","2.13.5","jackson-datatype-hibernate5","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate5-jakarta","2.13.5","jackson-datatype-hibernate5-jakarta","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hppc","2.13.5","jackson-datatype-hppc","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jakarta-jsonp","2.13.5","jackson-datatype-jakarta-jsonp","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jaxrs","2.13.5","jackson-datatype-jaxrs","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jdk8","2.13.5","jackson-datatype-jdk8","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-joda","2.13.5","jackson-datatype-joda","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-joda-money","2.13.5","jackson-datatype-joda-money","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-json-org","2.13.5","jackson-datatype-json-org","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jsr310","2.13.5","jackson-datatype-jsr310","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jsr353","2.13.5","jackson-datatype-jsr353","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-pcollections","2.13.5","jackson-datatype-pcollections","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-base","2.13.5","jackson-jakarta-rs-base","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
